id,app,category,starting_url
53,Ahrefs,"Data, SEO and Scraping",https://ahrefs.com/
54,MrScraper,"Data, SEO and Scraping",https://mrscraper.com/
55,Apify,"Data, SEO and Scraping",https://apify.com/
56,Firecrawl,"Data, SEO and Scraping",https://www.firecrawl.dev/
57,Bright Data,"Data, SEO and Scraping",https://brightdata.com/
58,Sherlock,"Data, SEO and Scraping",https://github.com/sherlock-project/sherlock
59,Waterfall.io,"Data, SEO and Scraping",https://waterfall.io/
60,Clay,"Data, SEO and Scraping",https://www.clay.com/
61,GitHub,"Developer, Infra and Data platforms",https://github.com/
62,Vercel,"Developer, Infra and Data platforms",https://vercel.com/
63,Netlify,"Developer, Infra and Data platforms",https://www.netlify.com/
64,Cloudflare,"Developer, Infra and Data platforms",https://www.cloudflare.com/
65,Supabase,"Developer, Infra and Data platforms",https://supabase.com/
66,Neo4j,"Developer, Infra and Data platforms",https://neo4j.com/
67,Snowflake,"Developer, Infra and Data platforms",https://www.snowflake.com/
68,MongoDB Atlas,"Developer, Infra and Data platforms",https://www.mongodb.com/atlas
69,Datadog,"Developer, Infra and Data platforms",https://www.datadoghq.com/
70,Sentry,"Developer, Infra and Data platforms",https://sentry.io/
71,Notion,Productivity and Project Management,https://www.notion.com/
72,Airtable,Productivity and Project Management,https://www.airtable.com/
73,Linear,Productivity and Project Management,https://linear.app/
74,Jira,Productivity and Project Management,https://www.atlassian.com/software/jira
75,Asana,Productivity and Project Management,https://asana.com/
76,Monday.com,Productivity and Project Management,https://monday.com/
77,ClickUp,Productivity and Project Management,https://clickup.com/
78,Coda,Productivity and Project Management,https://coda.io/
79,Smartsheet,Productivity and Project Management,https://www.smartsheet.com/
80,Harvest,Productivity and Project Management,https://www.getharvest.com/
81,Stripe,Finance and Fintech,https://stripe.com/
82,Plaid,Finance and Fintech,https://plaid.com/
83,Binance,Finance and Fintech,https://www.binance.com/
84,Paygent Connect,Finance and Fintech,https://www.nmi.com/
85,iPayX,Finance and Fintech,https://ipayx.ai/
86,QuickBooks,Finance and Fintech,https://developer.intuit.com/
87,Xero,Finance and Fintech,https://www.xero.com/
88,Brex,Finance and Fintech,https://www.brex.com/
89,Ramp,Finance and Fintech,https://ramp.com/
90,PitchBook,Finance and Fintech,https://pitchbook.com/
91,NotebookLM,"AI, Research and Media-native",https://notebooklm.google/
92,Otter AI,"AI, Research and Media-native",https://otter.ai/
93,Fathom,"AI, Research and Media-native",https://fathom.video/
94,Consensus,"AI, Research and Media-native",https://consensus.app/
95,Reducto,"AI, Research and Media-native",https://reducto.ai/
96,Devin,"AI, Research and Media-native",https://devin.ai/
97,Higgsfield,"AI, Research and Media-native",https://higgsfield.ai/
98,Mermaid CLI,"AI, Research and Media-native",https://github.com/mermaid-js/mermaid-cli
99,YouTube Transcript,"AI, Research and Media-native",https://transcriptapi.com/
100,Grain,"AI, Research and Media-native",https://grain.com/
